Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.62     0.00    13944     0.00     0.00  Ffile_directory_p
  0.00      1.62     0.00    13812     0.00     0.00  graft_intervals_into_buffer
  0.00      1.62     0.00    13698     0.00     0.00  make_uninit_multibyte_string
  0.00      1.62     0.00    13611     0.00     0.00  Fequal_including_properties
  0.00      1.62     0.00    13608     0.00     0.00  Ffile_executable_p
  0.00      1.62     0.00    13568     0.00     0.00  mutually_exclusive_one
  0.00      1.62     0.00    13502     0.00     0.00  move_cache_gap
  0.00      1.62     0.00    13496     0.00     0.00  mirror_make_current
  0.00      1.62     0.00    13443     0.00     0.00  insert_from_string
  0.00      1.62     0.00    13251     0.00     0.00  swap_glyph_pointers
  0.00      1.62     0.00    13220     0.00     0.00  bcall0
  0.00      1.62     0.00    13220     0.00     0.00  vector_from_rev_list
  0.00      1.62     0.00    13045     0.00     0.00  general_insert_function
  0.00      1.62     0.00    13020     0.00     0.00  Finsert
  0.00      1.62     0.00    12963     0.00     0.00  Fget_pos_property
  0.00      1.62     0.00    12963     0.00     0.00  text_property_stickiness
  0.00      1.62     0.00    12882     0.00     0.00  Fautoload_do_load
  0.00      1.62     0.00    12871     0.00     0.00  copy_text_properties
  0.00      1.62     0.00    12764     0.00     0.00  Fsubstring
  0.00      1.62     0.00    12757     0.00     0.00  Fappend
  0.00      1.62     0.00    12730     0.00     0.00  forall_firstchar_1
  0.00      1.62     0.00    12712     0.00     0.00  default_value
  0.00      1.62     0.00    12517     0.00     0.00  mutually_exclusive_exactn
  0.00      1.62     0.00    12486     0.00     0.00  set_buffer_if_live
  0.00      1.62     0.00    12483     0.00     0.00  Frecordp
  0.00      1.62     0.00    12403     0.00     0.00  split_interval_right
  0.00      1.62     0.00    12121     0.00     0.00  bidi_at_paragraph_end
  0.00      1.62     0.00    11784     0.00     0.00  Fmalloc_info
  0.00      1.62     0.00    11746     0.00     0.00  get_local_map
  0.00      1.62     0.00    11409     0.00     0.00  map_keymap_internal
  0.00      1.62     0.00    11334     0.00     0.00  Fdefault_value
  0.00      1.62     0.00    11196     0.00     0.00  map_keymap
  0.00      1.62     0.00    11165     0.00     0.00  bidi_shelve_cache
  0.00      1.62     0.00    10618     0.00     0.00  count_size_as_multibyte
  0.00      1.62     0.00    10490     0.00     0.00  char_composable_p
  0.00      1.62     0.00    10484     0.00     0.00  composition_reseat_it
  0.00      1.62     0.00    10447     0.00     0.00  Fpurecopy
  0.00      1.62     0.00    10404     0.00     0.00  search_buffer
  0.00      1.62     0.00    10404     0.00     0.00  search_command
  0.00      1.62     0.00    10368     0.00     0.00  dupstring
  0.00      1.62     0.00    10183     0.00     0.00  emacs_open
  0.00      1.62     0.00    10181     0.00     0.00  Fset
  0.00      1.62     0.00    10162     0.00     0.00  fill_column_indicator_column
  0.00      1.62     0.00    10083     0.00     0.00  octalout
  0.00      1.62     0.00     9967     0.00     0.00  delete_cache_boundaries
  0.00      1.62     0.00     9845     0.00     0.00  analyze_first
  0.00      1.62     0.00     9667     0.00     0.00  Freverse
  0.00      1.62     0.00     9347     0.00     0.00  build_symbol_with_pos
  0.00      1.62     0.00     9311     0.00     0.00  Fmake_symbol
  0.00      1.62     0.00     9311     0.00     0.00  init_symbol
  0.00      1.62     0.00     9266     0.00     0.00  Fintern
  0.00      1.62     0.00     9224     0.00     0.00  modify_text_properties
  0.00      1.62     0.00     9208     0.00     0.00  lisp_to_timespec
  0.00      1.62     0.00     9208     0.00     0.00  mpz_to_intmax
  0.00      1.62     0.00     9166     0.00     0.00  list4_to_timespec
